

"Musterdepot: 'Komplett'"
"Montag, 27.04.2020, 17:21 Uhr"

"Stück";"Bezeichnung";"WKN";"Typ";"Aktuell";"Whg.";"Diff. 1 Tag Abs.";"Diff. 1 Tag Rel.";"Wert in EUR";"Diff. seit Kauf Abs.";"Diff. seit Kauf Rel.";"Zeit";"Datum";"Börse";"Kaufkurs in EUR";"Kaufdatum";"Kaufwert in EUR";"Limit +";"Limit -";"Perf. 3 Monate";"Perf. 1 Jahr";"Perf. 3 Jahre";
"100";"WisdomTree Brent Crude Oil 1mth - EUR ACC";"A0KRKM";"Zertifikat";"9,592";"EUR";"-1,00";"-9,41%";"1.342,88";"-1.686,24";"-55,67%";"17:21:00";"27.04.20";"LT Lang &#38; Schwarz";"21,64";"24.09.19";"3.029,12";"18,00";"9,70";"-61,32%";"-62,41%";"-47,90%";
"150";"LBBW Dividenden Strategie Euroland - R EUR DIS";"978041";"Fonds";"29,702";"EUR";"0,57";"+1,96%";"4.455,30";"-1.544,70";"-25,75%";"17:00:07";"27.04.20";"Stuttgart";"40,00";"24.09.19";"6.000,00";"50,00";"28,00";"-36,33%";"-34,27%";"-37,61%";
"300";"Fidelity Funds - Nordic Fund - A SEK DIS";"973277";"Fonds";"94,575";"EUR";"2,26";"+2,45%";"51.070,50";"-13.729,50";"-21,19%";"17:00:56";"27.04.20";"Stuttgart";"120,00";"24.09.19";"64.800,00";"140,00";"88,00";"-29,70%";"-27,88%";"-30,80%";
"130";"Lyxor 1 TecDAX UCITS ETF - I EUR DIS";"ETF908";"Fonds";"22,985";"EUR";"0,14";"+0,61%";"2.988,05";"-118,69";"-3,82%";"17:06:59";"27.04.20";"Stuttgart";"23,90";"24.09.19";"3.106,74";"25,50";"22,00";"-9,65%";"-0,98%";"+35,10%";
"60";"SAP SE Inhaber-Aktien o.N.";"716460";"Aktie";"107,64";"EUR";"0,18";"+0,17%";"6.458,40";"458,40";"+7,64%";"17:21:21";"27.04.20";"LT Lang &#38; Schwarz";"100,00";"24.09.19";"6.000,00";"130,00";"120,00";"-14,16%";"-5,99%";"+16,77%";
"150";"OEkoworld Klima - C EUR ACC";"A0MX8G";"Fonds";"82,05";"EUR";"1,43";"+1,77%";"4.102,50";"253,00";"+6,57%";"17:00:47";"27.04.20";"Stuttgart";"76,99";"24.09.19";"3.849,50";"100,00";"75,00";"-5,55%";"+7,57%";"+35,11%";
"40";"Amundi Index Solutions NASDAQ 100 UCITS ETF - EUR ACC";"A2H577";"Fonds";"91,71";"EUR";"2,12";"+2,37%";"3.668,40";"894,44";"+32,24%";"16:46:30";"05.05.20";"Stuttgart";"69,35";"24.09.19";"2.773,96";"100,00";"75,00";"-4,28%";"+16,05%";"+60,99%";
"15";"SEB Nordic Small Cap Fund - C EUR ACC";"A0Q9NX";"Fonds";"450,055";"EUR";"0,08";"+0,02%";"6.750,82";"-249,18";"-3,56%";"08:00:00";"24.04.20";"Fondsgesellschaft";"466,67";"01.11.19";"7.000,00";"480,00";"420,00";"-19,61%";"+3,25%";"+24,56%";
"470";"iShares Automation &#38; Robotics UCITS ETF - USD ACC";"A2ANH0";"Fonds";"6,738";"EUR";"0,12";"+1,80%";"3.166,86";"121,73";"+4,00%";"17:00:14";"27.04.20";"Stuttgart";"6,48";"24.09.19";"3.045,13";"8,20";"6,30";"-16,78%";"-7,50%";"+23,49%";
"100";"Amundi Index Solutions Index Solutions Index MSCI World SRI - DR EUR ACC";"A2JSDA";"Fonds";"53,675";"EUR";"0,01";"+0,01%";"5.367,55";"5.367,55";"--";"08:00:00";"23.04.20";"Fondsgesellschaft";"0,00";"20.11.19";"0,00";"--";"45,00";"-13,33%";"+0,34%";"--";
"20";"OEkoWorld OEkoVision Classic - C EUR ACC";"974968";"Fonds";"189,549";"EUR";"3,33";"+1,79%";"3.790,98";"90,98";"+2,46%";"17:21:11";"27.04.20";"LT Lang &#38; Schwarz";"185,00";"24.09.19";"3.700,00";"220,00";"180,00";"-7,61%";"+2,76%";"+13,48%";
"150";"Xtrackers MSCI World Minimum Volatility UCITS ETF - 1C USD ACC";"A1103F";"Fonds";"29,42";"EUR";"0,58";"+2,03%";"4.413,00";"-222,00";"-4,79%";"17:21:23";"27.04.20";"LT Lang &#38; Schwarz";"30,90";"25.09.19";"4.635,00";"32,00";"28,00";"-11,44%";"+1,83%";"+19,44%";

